class A,class B,mean,median,std
lm555cmx,lm555cmx,0.487,0.4916666666666667,0.039733836685849726
lm555cmx,lmc555im,1.0,1.0,0.0
lm555cmx,lmc555imx,1.0,1.0,0.0
lm555cmx,msp430g2210id,1.0,1.0,0.0
lm555cmx,msp430g2210idr,1.0,1.0,0.0
lm555cmx,msp430g2230id,1.0,1.0,0.0
lm555cmx,msp430g2230idr,1.0,1.0,0.0
lmc555im,lm555cmx,1.0,1.0,0.0
lmc555im,lmc555im,0.5093333333333334,0.5133333333333334,0.03342653636459113
lmc555im,lmc555imx,0.9560000000000001,0.9566666666666667,0.015691469727919755
lmc555im,msp430g2210id,1.0,1.0,0.0
lmc555im,msp430g2210idr,1.0,1.0,0.0
lmc555im,msp430g2230id,1.0,1.0,0.0
lmc555im,msp430g2230idr,1.0,1.0,0.0
lmc555imx,lm555cmx,1.0,1.0,0.0
lmc555imx,lmc555im,0.9473333333333332,0.95,0.015902480589168752
lmc555imx,lmc555imx,0.492,0.4816666666666667,0.031347514521356666
lmc555imx,msp430g2210id,1.0,1.0,0.0
lmc555imx,msp430g2210idr,1.0,1.0,0.0
lmc555imx,msp430g2230id,1.0,1.0,0.0
lmc555imx,msp430g2230idr,1.0,1.0,0.0
msp430g2210id,lm555cmx,1.0,1.0,0.0
msp430g2210id,lmc555im,1.0,1.0,0.0
msp430g2210id,lmc555imx,1.0,1.0,0.0
msp430g2210id,msp430g2210id,0.4876666666666667,0.4916666666666667,0.017767010628315247
msp430g2210id,msp430g2210idr,0.9179999999999999,0.9166666666666666,0.007483314773547906
msp430g2210id,msp430g2230id,1.0,1.0,0.0
msp430g2210id,msp430g2230idr,1.0,1.0,0.0
msp430g2210idr,lm555cmx,1.0,1.0,0.0
msp430g2210idr,lmc555im,1.0,1.0,0.0
msp430g2210idr,lmc555imx,1.0,1.0,0.0
msp430g2210idr,msp430g2210id,0.9106666666666665,0.9116666666666666,0.014204850501775003
msp430g2210idr,msp430g2210idr,0.5073333333333333,0.5083333333333333,0.0207525098883645
msp430g2210idr,msp430g2230id,1.0,1.0,0.0
msp430g2210idr,msp430g2230idr,1.0,1.0,0.0
msp430g2230id,lm555cmx,1.0,1.0,0.0
msp430g2230id,lmc555im,1.0,1.0,0.0
msp430g2230id,lmc555imx,1.0,1.0,0.0
msp430g2230id,msp430g2210id,1.0,1.0,0.0
msp430g2230id,msp430g2210idr,1.0,1.0,0.0
msp430g2230id,msp430g2230id,0.5063333333333333,0.5016666666666667,0.02456058269305152
msp430g2230id,msp430g2230idr,0.9289999999999999,0.93,0.011259563836036362
msp430g2230idr,lm555cmx,1.0,1.0,0.0
msp430g2230idr,lmc555im,1.0,1.0,0.0
msp430g2230idr,lmc555imx,1.0,1.0,0.0
msp430g2230idr,msp430g2210id,1.0,1.0,0.0
msp430g2230idr,msp430g2210idr,1.0,1.0,0.0
msp430g2230idr,msp430g2230id,0.9279999999999999,0.9283333333333333,0.01579029237643599
msp430g2230idr,msp430g2230idr,0.5023333333333333,0.5083333333333333,0.023192431715731956
