class A,class B,mean,median,std
lm555cmx,lm555cmx,0.4883333333333333,0.4916666666666667,0.08401388774085708
lm555cmx,lmc555im,1.0,1.0,0.0
lm555cmx,lmc555imx,1.0,1.0,0.0
lm555cmx,msp430g2210id,1.0,1.0,0.0
lm555cmx,msp430g2210idr,1.0,1.0,0.0
lm555cmx,msp430g2230id,1.0,1.0,0.0
lm555cmx,msp430g2230idr,1.0,1.0,0.0
lmc555im,lm555cmx,1.0,1.0,0.0
lmc555im,lmc555im,0.5166666666666666,0.525,0.06280481227138923
lmc555im,lmc555imx,0.8733333333333333,0.875,0.03511884584284246
lmc555im,msp430g2210id,1.0,1.0,0.0
lmc555im,msp430g2210idr,1.0,1.0,0.0
lmc555im,msp430g2230id,1.0,1.0,0.0
lmc555im,msp430g2230idr,1.0,1.0,0.0
lmc555imx,lm555cmx,1.0,1.0,0.0
lmc555imx,lmc555im,0.8416666666666666,0.8416666666666667,0.05540256712864886
lmc555imx,lmc555imx,0.495,0.5166666666666667,0.061936347253540164
lmc555imx,msp430g2210id,1.0,1.0,0.0
lmc555imx,msp430g2210idr,1.0,1.0,0.0
lmc555imx,msp430g2230id,1.0,1.0,0.0
lmc555imx,msp430g2230idr,1.0,1.0,0.0
msp430g2210id,lm555cmx,1.0,1.0,0.0
msp430g2210id,lmc555im,1.0,1.0,0.0
msp430g2210id,lmc555imx,1.0,1.0,0.0
msp430g2210id,msp430g2210id,0.5050000000000001,0.5083333333333333,0.045368858629387325
msp430g2210id,msp430g2210idr,0.8316666666666667,0.8333333333333334,0.03833333333333332
msp430g2210id,msp430g2230id,1.0,1.0,0.0
msp430g2210id,msp430g2230idr,1.0,1.0,0.0
msp430g2210idr,lm555cmx,1.0,1.0,0.0
msp430g2210idr,lmc555im,1.0,1.0,0.0
msp430g2210idr,lmc555imx,1.0,1.0,0.0
msp430g2210idr,msp430g2210id,0.8283333333333334,0.8416666666666667,0.04349329450233296
msp430g2210idr,msp430g2210idr,0.4933333333333333,0.48333333333333334,0.042295258468165085
msp430g2210idr,msp430g2230id,1.0,1.0,0.0
msp430g2210idr,msp430g2230idr,1.0,1.0,0.0
msp430g2230id,lm555cmx,1.0,1.0,0.0
msp430g2230id,lmc555im,1.0,1.0,0.0
msp430g2230id,lmc555imx,1.0,1.0,0.0
msp430g2230id,msp430g2210id,1.0,1.0,0.0
msp430g2230id,msp430g2210idr,1.0,1.0,0.0
msp430g2230id,msp430g2230id,0.49666666666666676,0.4916666666666667,0.06359594676112972
msp430g2230id,msp430g2230idr,0.8116666666666668,0.8166666666666667,0.05479760740924532
msp430g2230idr,lm555cmx,1.0,1.0,0.0
msp430g2230idr,lmc555im,1.0,1.0,0.0
msp430g2230idr,lmc555imx,1.0,1.0,0.0
msp430g2230idr,msp430g2210id,1.0,1.0,0.0
msp430g2230idr,msp430g2210idr,1.0,1.0,0.0
msp430g2230idr,msp430g2230id,0.8266666666666665,0.8333333333333333,0.06463573143221772
msp430g2230idr,msp430g2230idr,0.475,0.48333333333333334,0.050689687752485175
